district_id,incumbent_party,incumbent_spending,challenger_spending,incumbent_vote_share,presidential_vote,incumbent_scandal,quality_challenger
1,Democrat,815245.9461036914,247902.8558825088,55.90956199215725,36.01052785292268,FALSE,FALSE
2,Republican,469650.6960514414,147862.0489156994,60.55174994049594,33.32992509007454,FALSE,TRUE
3,Republican,168369.29834316805,201944.4248734041,48.11704532010481,69.36310898512602,FALSE,FALSE
4,Republican,519741.0251226671,104452.85874997544,52.923659414518625,53.49566660821438,FALSE,TRUE
5,Democrat,251934.84267686156,57408.26281867947,52.98681930406019,59.91366763599217,FALSE,FALSE
6,Democrat,714412.6842195207,677437.927870231,40.72318554157391,36.62407288327813,FALSE,FALSE
7,Democrat,525999.3275449029,282962.122435484,42.84146125661209,42.80839899554849,FALSE,FALSE
8,Republican,1492367.182867807,50000,69.4318297598511,42.46170782484114,FALSE,FALSE
9,Republican,239397.62171302113,94819.74733783831,63.93213941482827,51.93818726576865,FALSE,TRUE
10,Republican,100000,2324835.030803687,43.78994541242719,65.71006703190506,FALSE,FALSE
11,Republican,198802.475980331,154567.0999742321,65.66830308642238,33.88601026497781,FALSE,TRUE
12,Republican,274933.0407113874,58393.91925012432,62.154692774638534,47.90986248292029,FALSE,FALSE
13,Republican,306205.7183079172,107128.81518644982,54.82808989007026,64.02217580005527,FALSE,FALSE
14,Republican,191753.6814726193,59070.68130503044,68.21748008718714,42.83012215048075,FALSE,FALSE
15,Democrat,213553.2124936204,177477.1036850737,67.09326057229191,56.1852415651083,FALSE,FALSE
16,Republican,576706.3859652596,50000,56.570018145721406,53.91134493984282,FALSE,TRUE
17,Democrat,100000,105256.45398344111,53.67193021811545,59.549117498099804,FALSE,TRUE
18,Republican,572600.0858693789,151523.7634613015,65.7550991885364,66.7267101071775,FALSE,FALSE
19,Democrat,117051.56856322818,117246.37774544915,67.08020566031337,62.2373406868428,FALSE,FALSE
20,Republican,493088.02042766375,365297.95090849843,58.135834387503564,37.18960392288864,FALSE,FALSE
21,Democrat,367411.8009553762,50000,59.85958907054737,47.616184782236814,FALSE,FALSE
22,Democrat,593649.2763359325,351323.9652770388,45.31302502611652,47.338658990338445,FALSE,FALSE
23,Democrat,160913.24184172438,477785.6684857746,44.66912229312584,41.57309458591044,FALSE,FALSE
24,Democrat,736609.2062464425,50000,47.48873162083328,61.97463232092559,FALSE,TRUE
